Date,Team,Opponent,Map,Kill,Death,Diff,Rating,Round Lose,Round Win,Tier
13/4/23,TurkeyEternal Fire,RussiaAurora,anb,20,17,3,1.22,12,16,3
13/4/23,TurkeyEternal Fire,RussiaAurora,mrg,22,25,-3,1.05,19,15,3
12/04/23,TurkeyEternal Fire,RussiaCloud9,vtg,25,25,0,1.03,19,16,1
11/04/23,TurkeyEternal Fire,DenmarkAstralis,vtg,9,10,-1,1.05,7,16,1
11/04/23,TurkeyEternal Fire,EuropeNinjas in Pyjamas,mrg,17,20,-3,0.83,16,11,1
11/03/23,TurkeyEternal Fire,KosovoBad News Eagles,vtg,20,23,-3,1.09,16,12,2
11/03/23,TurkeyEternal Fire,SerbiaiNation,ovp,26,17,9,1.77,10,16,3
11/03/23,TurkeyEternal Fire,BulgariaVOYVODA,inf,25,20,5,1.33,16,13,3
26/2/23,TurkeyEternal Fire,Europefnatic,nuke,23,18,5,1.33,16,13,1
26/2/23,TurkeyEternal Fire,Europefnatic,ovp,35,21,14,1.59,19,15,1
26/2/23,TurkeyEternal Fire,Europefnatic,inf,14,16,-2,1,9,16,1
25/2/23,TurkeyEternal Fire,BrazilMIBR,vtg,22,12,10,1.37,11,16,2
25/2/23,TurkeyEternal Fire,BrazilMIBR,anb,18,14,4,1.29,10,16,2
24/2/23,TurkeyEternal Fire,Europefnatic,nuke,13,18,-5,0.73,16,11,1
24/2/23,TurkeyEternal Fire,Europefnatic,ovp,13,20,-7,0.86,16,11,1
24/2/23,TurkeyEternal Fire,Europefnatic,anb,15,15,0,0.95,11,16,1
23/2/23,TurkeyEternal Fire,United StatesEvil Geniuses,ovp,23,18,5,1.23,14,16,2
23/2/23,TurkeyEternal Fire,United StatesEvil Geniuses,anb,23,12,11,1.64,6,16,2
22/2/23,TurkeyEternal Fire,EuropeG2,nuke,21,20,1,1.08,16,14,1
22/2/23,TurkeyEternal Fire,EuropeG2,anb,19,18,1,1.04,16,9,1
19/2/23,TurkeyEternal Fire,KosovoBad News Eagles,vtg,21,28,-7,1.08,16,19,2
19/2/23,TurkeyEternal Fire,KosovoBad News Eagles,mrg,27,17,10,1.57,16,9,2
19/2/23,TurkeyEternal Fire,KosovoBad News Eagles,ovp,25,16,9,1.41,12,16,2
19/2/23,TurkeyEternal Fire,EuropeENCE,anb,15,21,-6,0.89,14,16,1
19/2/23,TurkeyEternal Fire,EuropeENCE,vtg,23,21,2,1.3,14,16,1
18/2/23,TurkeyEternal Fire,KosovoBad News Eagles,inf,17,17,0,1.3,16,12,2
18/2/23,TurkeyEternal Fire,KosovoBad News Eagles,anb,27,18,9,1.39,16,14,2
18/2/23,TurkeyEternal Fire,KosovoBad News Eagles,mrg,25,21,4,1.26,14,16,2
18/2/23,TurkeyEternal Fire,United KingdomInto the Breach,vtg,27,22,5,1.45,12,16,3
18/2/23,TurkeyEternal Fire,United KingdomInto the Breach,nuke,22,15,7,1.56,6,16,3
18/2/23,TurkeyEternal Fire,EuropeENCE,vtg,25,21,4,1.5,14,16,1
18/2/23,TurkeyEternal Fire,EuropeENCE,inf,19,17,2,1.17,9,16,1
17/2/23,TurkeyEternal Fire,FinlandHAVU,inf,14,15,-1,0.93,10,16,2
17/2/23,TurkeyEternal Fire,RussiaFORZE,nuke,23,16,7,1.44,10,16,2
17/2/23,TurkeyEternal Fire,RussiaFORZE,ovp,29,16,13,1.68,12,16,2
17/2/23,TurkeyEternal Fire,RussiaFORZE,anb,18,19,-1,1.09,16,6,2
17/2/23,TurkeyEternal Fire,PolandHONORIS,ovp,27,20,7,1.46,12,16,3
17/2/23,TurkeyEternal Fire,PolandHONORIS,nuke,16,13,3,1.16,10,16,3
16/2/23,TurkeyEternal Fire,Poland9INE,nuke,40,33,7,1.2,25,23,3
16/2/23,TurkeyEternal Fire,DenmarkCopenhagen Flames,nuke,19,19,0,1.24,11,16,3
16/2/23,TurkeyEternal Fire,KosovoBad News Eagles,inf,19,21,-2,0.97,16,14,2
15/2/23,TurkeyEternal Fire,FranceMixfits,anb,24,13,11,1.63,8,16,3
15/2/23,TurkeyEternal Fire,DenmarkECSTATIC,nuke,17,14,3,1.11,9,16,3
15/2/23,TurkeyEternal Fire,SwedenGODSENT,mrg,22,15,7,1.5,8,16,2
15/2/23,TurkeyEternal Fire,SwedenGODSENT,inf,43,19,24,1.71,17,19,2
14/2/23,TurkeyEternal Fire,Bulgaria500,mrg,17,17,0,0.95,16,6,3
14/2/23,TurkeyEternal Fire,Bulgaria500,nuke,15,20,-5,0.9,16,14,3
14/2/23,TurkeyEternal Fire,PolandSingularity,anb,26,21,5,1.27,12,16,3
31/1/23,TurkeyEternal Fire,BulgariaVOYVODA,ovp,25,19,6,1.23,16,14,3
31/1/23,TurkeyEternal Fire,SwedenLilmix,ovp,24,10,14,1.96,5,16,3
28/1/23,TurkeyEternal Fire,FranceHEET,vtg,9,17,-8,0.59,16,4,3
28/1/23,TurkeyEternal Fire,Czech RepublicSINNERS,nuke,28,15,13,1.48,13,16,2
28/1/23,TurkeyEternal Fire,BelarusWebsterz,anb,27,17,10,1.52,13,16,3
26/1/23,TurkeyEternal Fire,Poland9INE,vtg,15,21,-6,0.86,16,14,3
26/1/23,TurkeyEternal Fire,Poland9INE,anb,18,24,-6,0.85,19,16,3
26/1/23,TurkeyEternal Fire,FranceFalcons,vtg,25,30,-5,0.94,22,19,3
25/1/23,TurkeyEternal Fire,KosovoBad News Eagles,mrg,31,23,8,1.4,16,13,2
25/1/23,TurkeyEternal Fire,KosovoBad News Eagles,ovp,20,21,-1,1.01,16,13,2
24/1/23,TurkeyEternal Fire,EuropeApeks,inf,29,15,14,1.69,11,16,2
24/1/23,TurkeyEternal Fire,EuropeApeks,anb,21,18,3,1.35,13,16,2
24/1/23,TurkeyEternal Fire,EuropeApeks,mrg,30,26,4,1.29,19,17,2
18/1/23,TurkeyEternal Fire,DenmarkSprout,mrg,21,13,8,1.5,7,16,2
18/1/23,TurkeyEternal Fire,DenmarkSprout,ovp,26,21,5,1.48,16,11,2
18/1/23,TurkeyEternal Fire,DenmarkSprout,anb,22,19,3,1.11,12,16,2
17/1/23,TurkeyEternal Fire,EuropePartizan,anb,21,20,1,1.11,13,16,3
17/1/23,TurkeyEternal Fire,EuropePartizan,inf,26,19,7,1.29,13,16,3
16/1/23,TurkeyEternal Fire,EuropeGenk,inf,37,23,14,1.68,17,19,3
16/1/23,TurkeyEternal Fire,EuropeGenk,nuke,26,9,17,2.1,3,16,3
03/12/22,TurkeyEternal Fire,TurkeyThe Chosen Few,d2,20,8,12,1.79,4,16,3
03/12/22,TurkeyEternal Fire,TurkeyThe Chosen Few,nuke,30,19,11,1.66,12,16,3
02/12/22,TurkeyEternal Fire,Turkeygothboiclique,d2,18,9,9,1.73,5,16,3
02/12/22,TurkeyEternal Fire,Turkeygothboiclique,ovp,23,17,6,1.6,8,16,3
16/11/22,TurkeyEternal Fire,PolandHONORIS,inf,19,26,-7,0.89,16,13,3
16/11/22,TurkeyEternal Fire,PolandHONORIS,d2,19,8,11,2.29,1,16,3
16/11/22,TurkeyEternal Fire,PolandHONORIS,nuke,18,17,1,1.08,16,8,3
25/10/22,TurkeyEternal Fire,Europeex-Finest,vtg,10,23,-13,0.61,16,11,3
25/10/22,TurkeyEternal Fire,Europeex-Finest,inf,26,11,15,2.09,5,16,3
25/10/22,TurkeyEternal Fire,Europeex-Finest,d2,25,20,5,1.19,16,14,3
22/10/22,TurkeyEternal Fire,UkraineIKLA,d2,15,18,-3,1.12,16,7,3
22/10/22,TurkeyEternal Fire,UkraineIKLA,vtg,18,21,-3,1.14,12,16,3
22/10/22,TurkeyEternal Fire,UkraineIKLA,mrg,16,19,-3,0.89,16,8,3
20/10/22,TurkeyEternal Fire,BelarusWebsterz,d2,14,20,-6,0.76,16,12,3
20/10/22,TurkeyEternal Fire,BelarusWebsterz,inf,32,15,17,1.69,13,16,3
20/10/22,TurkeyEternal Fire,BelarusWebsterz,vtg,15,21,-6,0.71,16,12,3
19/10/22,TurkeyEternal Fire,DenmarkAstralis,nuke,28,28,0,1.07,22,20,1
19/10/22,TurkeyEternal Fire,DenmarkAstralis,ovp,32,15,17,1.85,11,16,1
19/10/22,TurkeyEternal Fire,DenmarkAstralis,d2,15,19,-4,0.77,16,14,1
16/10/22,TurkeyEternal Fire,EuropeENCE,nuke,12,19,-7,0.81,16,7,1
16/10/22,TurkeyEternal Fire,EuropeENCE,mrg,22,23,-1,1.09,16,14,1
16/10/22,TurkeyEternal Fire,EuropeENCE,vtg,17,17,0,1.16,11,16,1
15/10/22,TurkeyEternal Fire,SpainMovistar Riders,inf,24,18,6,1.19,12,16,2
15/10/22,TurkeyEternal Fire,SpainMovistar Riders,vtg,23,19,4,1.42,10,16,2
15/10/22,TurkeyEternal Fire,South AfricaNixuh,vtg,25,10,15,1.94,5,16,3
15/10/22,TurkeyEternal Fire,South AfricaNixuh,inf,35,20,15,1.5,17,19,3
14/10/22,TurkeyEternal Fire,SpainMovistar Riders,ovp,22,17,5,1.23,16,9,2
07/10/22,TurkeyEternal Fire,Europefnatic,ovp,20,18,2,1.19,16,11,1
07/10/22,TurkeyEternal Fire,Europefnatic,vtg,15,20,-5,0.89,16,10,1
06/10/22,TurkeyEternal Fire,RussiaAurora,nuke,29,17,12,1.86,8,16,3
06/10/22,TurkeyEternal Fire,RussiaAurora,mrg,29,22,7,1.23,19,15,3
06/10/22,TurkeyEternal Fire,RussiaAurora,vtg,22,15,7,1.48,9,16,3
05/10/22,TurkeyEternal Fire,DenmarkAstralis,inf,20,17,3,1.11,16,9,1
04/10/22,TurkeyEternal Fire,KosovoBad News Eagles,d2,23,24,-1,1.13,16,14,2
25/9/22,TurkeyEternal Fire,Czech RepublicSINNERS,inf,22,16,6,1.26,8,16,2
25/9/22,TurkeyEternal Fire,Czech RepublicSINNERS,nuke,26,19,7,1.4,14,16,2
25/9/22,TurkeyEternal Fire,Czech RepublicSINNERS,ovp,23,16,7,1.32,16,11,2
25/9/22,TurkeyEternal Fire,SpainMovistar Riders,ovp,16,11,5,1.47,5,16,2
25/9/22,TurkeyEternal Fire,SpainMovistar Riders,vtg,30,12,18,2.06,9,16,2
25/9/22,TurkeyEternal Fire,EuropeMOUZ,nuke,31,28,3,1.25,17,19,1
25/9/22,TurkeyEternal Fire,EuropeMOUZ,mrg,22,20,2,1.09,16,13,1
25/9/22,TurkeyEternal Fire,EuropeMOUZ,vtg,26,16,10,1.38,12,16,1
24/9/22,TurkeyEternal Fire,Serbia0to100,d2,25,11,14,1.73,5,16,3
24/9/22,TurkeyEternal Fire,United StatesLiquid,inf,17,17,0,1.09,11,16,1
24/9/22,TurkeyEternal Fire,United StatesLiquid,vtg,15,20,-5,1.01,13,16,1
24/9/22,TurkeyEternal Fire,Bulgariaex-SKADE,inf,18,22,-4,0.87,16,11,1
24/9/22,TurkeyEternal Fire,EuropeStrive in chaos,inf,17,11,6,1.33,6,16,3
23/9/22,TurkeyEternal Fire,North AmericaEvil Geniuses,d2,10,17,-7,0.68,16,4,2
23/9/22,TurkeyEternal Fire,North AmericaEvil Geniuses,ovp,20,19,1,1.12,16,9,2
22/9/22,TurkeyEternal Fire,RussiaCloud9,ovp,30,19,11,1.83,16,11,1
22/9/22,TurkeyEternal Fire,RussiaCloud9,d2,28,17,11,1.59,16,12,1
21/9/22,TurkeyEternal Fire,BrazilFURIA,inf,9,18,-9,0.68,16,5,1
21/9/22,TurkeyEternal Fire,BrazilFURIA,vtg,28,19,9,1.37,17,19,1
21/9/22,TurkeyEternal Fire,BrazilFURIA,nuke,25,17,8,1.42,16,11,1
18/9/22,TurkeyEternal Fire,RussiaEntropiq,ovp,21,16,5,1.34,9,16,2
18/9/22,TurkeyEternal Fire,RussiaEntropiq,d2,21,25,-4,0.99,17,19,2
18/9/22,TurkeyEternal Fire,EuropeIron Branch,anc,17,17,0,0.98,11,16,3
18/9/22,TurkeyEternal Fire,EuropeIron Branch,inf,34,25,9,1.41,17,19,3
17/9/22,TurkeyEternal Fire,Russia1WIN,d2,26,19,7,1.34,12,16,3
17/9/22,TurkeyEternal Fire,Russia1WIN,nuke,24,28,-4,1.02,17,19,3
17/9/22,TurkeyEternal Fire,DenmarkSprout,inf,21,16,5,1.17,12,16,2
17/9/22,TurkeyEternal Fire,DenmarkSprout,vtg,21,20,1,1.22,16,10,2
17/9/22,TurkeyEternal Fire,DenmarkSprout,nuke,20,13,7,1.4,6,16,2
16/9/22,TurkeyEternal Fire,RussiaFORZE,nuke,25,14,11,1.74,10,16,2
16/9/22,TurkeyEternal Fire,RussiaFORZE,inf,14,16,-2,0.91,10,16,2
16/9/22,TurkeyEternal Fire,Russia1WIN,vtg,20,20,0,1.11,16,13,3
16/9/22,TurkeyEternal Fire,Russia1WIN,d2,20,21,-1,1.1,13,16,3
16/9/22,TurkeyEternal Fire,Russia1WIN,nuke,21,23,-2,1.19,16,14,3
04/09/22,TurkeyEternal Fire,TurkeyBrosskiez,nuke,12,7,5,1.28,1,16,3
04/09/22,TurkeyEternal Fire,TurkeyBrosskiez,inf,24,11,13,2.09,5,16,3
02/09/22,TurkeyEternal Fire,Turkeygothboiclique,ovp,27,12,15,1.74,8,16,3
02/09/22,TurkeyEternal Fire,Turkeygothboiclique,mrg,24,23,1,1.28,16,14,3
02/09/22,TurkeyEternal Fire,Turkeygothboiclique,d2,23,9,14,1.94,5,16,3
01/09/22,TurkeyEternal Fire,TurkeyPeace of Heroes,d2,20,5,15,1.8,1,16,3
01/09/22,TurkeyEternal Fire,TurkeyPeace of Heroes,vtg,21,18,3,1.28,12,16,3
01/09/22,TurkeyEternal Fire,EuropeEnterprise,ovp,42,28,14,1.56,22,18,3
01/09/22,TurkeyEternal Fire,EuropeEnterprise,inf,11,21,-10,0.66,16,10,3
01/09/22,TurkeyEternal Fire,EuropeEnterprise,d2,26,16,10,1.71,8,16,3
24/8/22,TurkeyEternal Fire,EuropeSangal,vtg,21,16,5,1.52,10,16,3
23/8/22,TurkeyEternal Fire,DenmarkECSTATIC,nuke,20,5,15,1.87,3,16,3
23/8/22,TurkeyEternal Fire,DenmarkECSTATIC,d2,18,15,3,1.07,11,16,3
23/8/22,TurkeyEternal Fire,DenmarkECSTATIC,vtg,29,29,0,1.11,22,19,3
23/8/22,TurkeyEternal Fire,EuropeGamerLegion,nuke,18,23,-5,0.99,13,16,2
23/8/22,TurkeyEternal Fire,SwedenEYEBALLERS,vtg,23,12,11,1.74,6,16,3
21/8/22,TurkeyEternal Fire,United KingdomInto the Breach,inf,15,17,-2,1.07,16,14,3
16/8/22,TurkeyEternal Fire,Poland9INE,ovp,11,18,-7,0.73,16,4,3
01/07/22,TurkeyEternal Fire,Europeex-MAD Lions,nuke,14,19,-5,0.81,16,8,3
01/07/22,TurkeyEternal Fire,Europeex-MAD Lions,ovp,32,20,12,1.51,14,16,3
01/07/22,TurkeyEternal Fire,Europeex-MAD Lions,mrg,11,19,-8,0.6,16,5,3
27/6/22,TurkeyEternal Fire,GermanyBIG,nuke,12,17,-5,0.87,16,7,3
27/6/22,TurkeyEternal Fire,GermanyBIG,d2,23,24,-1,1.2,16,19,3
27/6/22,TurkeyEternal Fire,GermanyBIG,ovp,20,20,0,1.2,16,10,3
26/6/22,TurkeyEternal Fire,EuropeMOUZ,inf,23,18,5,1.43,13,16,1
26/6/22,TurkeyEternal Fire,EuropeMOUZ,mrg,26,15,11,1.53,12,16,1
26/6/22,TurkeyEternal Fire,EuropeMOUZ,nuke,14,16,-2,0.99,16,2,1
25/6/22,TurkeyEternal Fire,BrazilImperial,vtg,19,18,1,1.31,13,16,3
25/6/22,TurkeyEternal Fire,BrazilImperial,mrg,39,32,7,1.16,23,25,3
25/6/22,TurkeyEternal Fire,BrazilImperial,nuke,15,20,-5,0.81,16,7,3
23/6/22,TurkeyEternal Fire,EuropeENCE,vtg,26,22,4,1.25,16,11,1
23/6/22,TurkeyEternal Fire,EuropeENCE,nuke,25,20,5,1.44,10,16,1
23/6/22,TurkeyEternal Fire,EuropeENCE,d2,27,23,4,1.28,19,17,1
18/6/22,TurkeyEternal Fire,BrazilHUMMER,ovp,30,28,2,1.33,16,19,3
18/6/22,TurkeyEternal Fire,BrazilHUMMER,d2,25,12,13,1.54,7,16,3
16/6/22,TurkeyEternal Fire,PortugalFTW,ovp,26,14,12,1.62,9,16,3
16/6/22,TurkeyEternal Fire,PortugalFTW,vtg,21,15,6,1.41,7,16,3
12/06/22,TurkeyEternal Fire,Europeex-MAD Lions,inf,17,19,-2,1,16,12,3
12/06/22,TurkeyEternal Fire,Europeex-MAD Lions,nuke,23,20,3,1.36,11,16,3
12/06/22,TurkeyEternal Fire,Europeex-MAD Lions,mrg,10,19,-9,0.6,16,5,3
11/06/22,TurkeyEternal Fire,RussiaEntropiq,nuke,22,20,2,1.26,14,16,2
11/06/22,TurkeyEternal Fire,RussiaEntropiq,mrg,19,25,-6,0.89,17,19,2
09/06/22,TurkeyEternal Fire,EuropeSprout,nuke,22,18,4,1.26,12,16,2
09/06/22,TurkeyEternal Fire,EuropeSprout,inf,19,17,2,1.17,14,16,2
07/06/22,TurkeyEternal Fire,Europeex-MAD Lions,mrg,16,20,-4,0.82,16,9,3
07/06/22,TurkeyEternal Fire,Europeex-MAD Lions,d2,29,35,-6,1.01,25,22,3
27/5/22,TurkeyEternal Fire,SwedenFinest,d2,23,20,3,1.26,16,14,3
27/5/22,TurkeyEternal Fire,SwedenFinest,vtg,21,17,4,1.34,16,6,3
27/5/22,TurkeyEternal Fire,SwedenFinest,ovp,21,18,3,1.39,9,16,3
27/5/22,TurkeyEternal Fire,DenmarkECSTATIC,inf,19,14,5,1.29,12,16,3
27/5/22,TurkeyEternal Fire,DenmarkECSTATIC,nuke,33,26,7,1.4,17,19,3
26/5/22,TurkeyEternal Fire,BulgariaSKADE,inf,21,20,1,1.28,14,16,1
26/5/22,TurkeyEternal Fire,BulgariaSKADE,nuke,19,19,0,1.12,11,16,1
24/5/22,TurkeyEternal Fire,PortugalSAW,vtg,27,23,4,1.4,14,16,2
24/5/22,TurkeyEternal Fire,PortugalSAW,d2,22,17,5,1.52,8,16,2
24/5/22,TurkeyEternal Fire,PortugalSAW,nuke,25,24,1,1.08,19,17,2
11/05/22,TurkeyEternal Fire,BrazilMIBR,nuke,16,22,-6,0.95,16,11,2
11/05/22,TurkeyEternal Fire,BrazilMIBR,vtg,20,20,0,1.22,16,13,2
10/05/22,TurkeyEternal Fire,RussiaSpirit,d2,17,15,2,1,16,11,1
09/05/22,TurkeyEternal Fire,AustraliaRenegades,vtg,19,5,14,1.95,2,16,1
09/05/22,TurkeyEternal Fire,KosovoBad News Eagles,d2,16,21,-5,1.01,16,14,2
08/05/22,TurkeyEternal Fire,TurkeySMOAD,vtg,21,8,13,1.76,4,16,3
08/05/22,TurkeyEternal Fire,TurkeySMOAD,nuke,23,14,9,1.91,3,16,3
07/05/22,TurkeyEternal Fire,TurkeyESC,nuke,23,14,9,1.52,8,16,3
07/05/22,TurkeyEternal Fire,TurkeyESC,inf,19,7,12,1.77,3,16,3
20/4/22,TurkeyEternal Fire,EuropeOG,d2,24,16,8,1.27,14,16,1
20/4/22,TurkeyEternal Fire,EuropeOG,vtg,25,22,3,1.38,14,16,1
19/4/22,TurkeyEternal Fire,Europefnatic,ovp,27,21,6,1.46,13,16,1
19/4/22,TurkeyEternal Fire,Europefnatic,inf,24,18,6,1.2,16,12,1
19/4/22,TurkeyEternal Fire,Europefnatic,d2,24,18,6,1.25,12,16,1
18/4/22,TurkeyEternal Fire,FranceVitality,d2,14,18,-4,0.84,16,11,1
17/4/22,TurkeyEternal Fire,SwedenDignitas,vtg,37,33,4,1.38,20,22,2
17/4/22,TurkeyEternal Fire,EuropeFaZe,ovp,5,19,-14,0.37,16,4,1
14/4/22,TurkeyEternal Fire,EuropeApeks,nuke,12,21,-9,0.84,16,9,2
13/4/22,TurkeyEternal Fire,BulgariaSKADE,ovp,19,6,13,1.78,2,16,1
12/04/22,TurkeyEternal Fire,DenmarkCopenhagen Flames,nuke,19,19,0,1.19,16,12,3
20/3/22,TurkeyEternal Fire,BulgariaSKADE,d2,21,15,6,1.37,16,10,1
20/3/22,TurkeyEternal Fire,BulgariaSKADE,nuke,20,17,3,1.19,13,16,1
20/3/22,TurkeyEternal Fire,BulgariaSKADE,inf,22,24,-2,0.95,19,15,1
19/3/22,TurkeyEternal Fire,HungaryONYX,inf,28,18,10,1.4,16,19,3
18/3/22,TurkeyEternal Fire,Czech RepublicSINNERS,mrg,34,38,-4,1.02,28,25,2
18/3/22,TurkeyEternal Fire,HungaryONYX,nuke,23,16,7,1.35,13,16,3
14/3/22,TurkeyEternal Fire,EuropeApeks,inf,20,18,2,1.25,16,12,2
14/3/22,TurkeyEternal Fire,EuropeApeks,mrg,37,29,8,1.25,21,25,2
14/3/22,TurkeyEternal Fire,EuropeApeks,vtg,22,23,-1,1.12,19,17,2
13/3/22,TurkeyEternal Fire,TurkeySahangiller,inf,12,12,0,1.04,2,16,3
13/3/22,TurkeyEternal Fire,TurkeySahangiller,vtg,24,11,13,1.83,7,16,3
13/3/22,TurkeyEternal Fire,TurkeySahangiller,mrg,19,14,5,1.34,6,16,3
12/03/22,TurkeyEternal Fire,TurkeyRWC,d2,22,11,11,1.67,5,16,3
12/03/22,TurkeyEternal Fire,TurkeyRWC,vtg,23,13,10,1.62,7,16,3
11/03/22,TurkeyEternal Fire,TurkeyLast Bullets,d2,29,15,14,1.83,9,16,3
11/03/22,TurkeyEternal Fire,TurkeyLast Bullets,vtg,20,7,13,2.03,1,16,3
10/03/22,TurkeyEternal Fire,DenmarkAstralis Talent,nuke,18,13,5,1.19,8,16,3
10/03/22,TurkeyEternal Fire,DenmarkAstralis Talent,inf,16,19,-3,1,12,16,3
10/03/22,TurkeyEternal Fire,DenmarkAstralis Talent,vtg,8,23,-15,0.58,16,12,3
09/03/22,TurkeyEternal Fire,BulgariaSKADE,d2,9,16,-7,0.54,16,5,1
09/03/22,TurkeyEternal Fire,BulgariaSKADE,inf,20,23,-3,1.09,19,16,1
08/03/22,TurkeyEternal Fire,SwedenGamerLegion,vtg,28,9,19,1.87,7,16,2
08/03/22,TurkeyEternal Fire,SwedenGamerLegion,inf,19,13,6,1.19,10,16,2
07/03/22,TurkeyEternal Fire,United KingdomInto the Breach,nuke,23,12,11,1.75,6,16,3
07/03/22,TurkeyEternal Fire,United KingdomInto the Breach,ovp,29,11,18,1.86,9,16,3
07/03/22,TurkeyEternal Fire,EuropeSangal,vtg,19,15,4,1.55,9,16,3
06/03/22,TurkeyEternal Fire,Europefnatic,mrg,7,17,-10,0.6,16,3,1
06/03/22,TurkeyEternal Fire,PolandAnonymo,d2,19,16,3,1.25,10,16,3
06/03/22,TurkeyEternal Fire,PolandAnonymo,inf,22,10,12,2.05,2,16,3
06/03/22,TurkeyEternal Fire,EuropeNemiga,vtg,21,14,7,1.6,5,16,3
04/03/22,TurkeyEternal Fire,BulgariaSKADE,inf,17,18,-1,1.03,16,8,1
04/03/22,TurkeyEternal Fire,BulgariaSKADE,d2,16,20,-4,1.04,16,13,1
02/03/22,TurkeyEternal Fire,PortugalFTW,nuke,18,19,-1,0.96,16,11,3
24/2/22,TurkeyEternal Fire,Denmarkex-AGF,nuke,32,18,14,1.78,12,16,3
24/2/22,TurkeyEternal Fire,Denmarkex-AGF,mrg,23,12,11,1.86,5,16,3
24/2/22,TurkeyEternal Fire,Denmarkex-AGF,vtg,14,23,-9,0.96,16,13,3
24/2/22,TurkeyEternal Fire,SwedenGamerLegion,vtg,16,18,-2,1.05,16,8,2
24/2/22,TurkeyEternal Fire,SwedenGamerLegion,inf,19,21,-2,1.12,16,13,2
24/2/22,TurkeyEternal Fire,SwedenGamerLegion,mrg,32,12,20,1.99,8,16,2
18/2/22,TurkeyEternal Fire,EuropeApeks,ovp,12,21,-9,0.78,12,16,2
18/2/22,TurkeyEternal Fire,EuropeApeks,mrg,22,18,4,1.23,16,13,2
18/2/22,TurkeyEternal Fire,EuropeApeks,vtg,32,18,14,1.62,13,16,2
17/2/22,TurkeyEternal Fire,United KingdomEndpoint,vtg,29,25,4,1.41,19,15,2
17/2/22,TurkeyEternal Fire,United KingdomEndpoint,inf,8,17,-9,0.62,16,4,2
16/2/22,TurkeyEternal Fire,EuropeEnterprise,inf,19,16,3,1.35,10,16,3
16/2/22,TurkeyEternal Fire,EuropeEnterprise,nuke,33,20,13,1.56,16,19,3
15/2/22,TurkeyEternal Fire,SwedenGamerLegion,mrg,20,21,-1,1.05,16,13,2
15/2/22,TurkeyEternal Fire,SwedenGamerLegion,nuke,6,17,-11,0.59,16,5,2
15/2/22,TurkeyEternal Fire,SwedenGamerLegion,ovp,24,12,12,1.55,8,16,2
14/2/22,TurkeyEternal Fire,EuropeAVANGAR,nuke,32,15,17,1.84,11,16,3
14/2/22,TurkeyEternal Fire,EuropeAVANGAR,mrg,16,14,2,1.12,6,16,3
03/02/22,TurkeyEternal Fire,EuropeSprout,mrg,27,17,10,1.56,10,16,2
03/02/22,TurkeyEternal Fire,EuropeSprout,ovp,26,17,9,1.48,11,16,2
01/02/22,TurkeyEternal Fire,DenmarkCopenhagen Flames,inf,14,17,-3,0.81,16,9,3
01/02/22,TurkeyEternal Fire,DenmarkCopenhagen Flames,nuke,27,13,14,1.86,5,16,3
01/02/22,TurkeyEternal Fire,DenmarkCopenhagen Flames,vtg,14,18,-4,0.99,16,6,3
31/1/22,TurkeyEternal Fire,SwedenDignitas,inf,24,7,17,2.18,3,16,2
31/1/22,TurkeyEternal Fire,SwedenDignitas,mrg,26,19,7,1.64,12,16,2
31/1/22,TurkeyEternal Fire,SwedenDignitas,anc,16,22,-6,0.97,16,12,2
28/1/22,TurkeyEternal Fire,DenmarkTricked,d2,29,6,23,2.3,4,16,3
28/1/22,TurkeyEternal Fire,DenmarkTricked,ovp,31,11,20,1.9,8,16,3
27/1/22,TurkeyEternal Fire,Russia1WIN,mrg,20,19,1,1.08,11,16,3
27/1/22,TurkeyEternal Fire,Russia1WIN,ovp,31,19,12,1.68,12,16,3
27/1/22,TurkeyEternal Fire,Russia1WIN,vtg,34,34,0,1.08,28,25,3
26/1/22,TurkeyEternal Fire,AustraliaLooking For Org,vtg,13,10,3,1.47,3,16,3
26/1/22,TurkeyEternal Fire,AustraliaLooking For Org,inf,27,13,14,1.77,12,16,3
26/1/22,TurkeyEternal Fire,KosovoBLINK,d2,24,13,11,1.54,8,16,3
26/1/22,TurkeyEternal Fire,KosovoBLINK,vtg,20,22,-2,1.07,16,14,3
26/1/22,TurkeyEternal Fire,KosovoBLINK,inf,17,12,5,1.16,7,16,3
25/1/22,TurkeyEternal Fire,SwedenGamerLegion,ovp,24,22,2,1.16,16,12,2
25/1/22,TurkeyEternal Fire,SwedenGamerLegion,vtg,27,17,10,1.47,16,14,2
24/1/22,TurkeyEternal Fire,KazakhstanUnique,ovp,24,17,7,1.49,16,12,3
24/1/22,TurkeyEternal Fire,KazakhstanUnique,vtg,26,26,0,1.18,19,17,3
19/1/22,TurkeyEternal Fire,ChinaLynn Vision,d2,26,14,12,1.66,9,16,3
19/1/22,TurkeyEternal Fire,ChinaLynn Vision,inf,15,19,-4,1.04,9,16,3
13/12/21,TurkeyEternal Fire,SwedenSavage,vtg,22,19,3,1.32,16,10,3
13/12/21,TurkeyEternal Fire,SwedenSavage,mrg,23,20,3,1.18,16,13,3
13/12/21,TurkeyEternal Fire,SwedenSavage,inf,24,18,6,1.24,14,16,3
12/12/21,TurkeyEternal Fire,GermanySprout,nuke,26,12,14,1.76,7,16,2
12/12/21,TurkeyEternal Fire,GermanySprout,ovp,11,16,-5,0.94,5,16,2
